ObjectID,Title,Artist,Date,Culture,Source,CopyrightStatus,Classification,ImageURL
"safe-chinese-47283","Bridal Long Pao (Dragon Robe)","Han-Chinese
China","1875/90, Qing dynasty (1644–1911)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/49e379c2-f8ed-11e8-b180-274c5778e803/full/843,/0/default.jpg"
"safe-chinese-11435","Jiasha (Mantle)","Han
China","Qing dynasty (1644–1911), 1650/1725","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/74c30cf4-6acb-65a2-c0b6-21dc0fff94aa/full/843,/0/default.jpg"
"safe-chinese-15748","Portrait of the Tibetan Lama Chankya Hutuktu Rolpai Dorje (1717-1786)","China","Qing dynasty (1644–1911), 18th/19th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","bronze","https://www.artic.edu/iiif/2/cdc83268-e8e3-0e55-a741-bcf1cf9ce8d2/full/843,/0/default.jpg"
"safe-chinese-7816","Teapot with Cover","Artist unknown (Chinese, made for the American market)
China","1790–1800","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","teapot","https://www.artic.edu/iiif/2/cc397bd2-bc65-269a-ea89-c8504817d330/full/843,/0/default.jpg"
"safe-chinese-11703","Enlightened Protector Mahakala with Six Arms (Shadbhuja)","China or Tibet","18th/19th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","bronze","https://www.artic.edu/iiif/2/f1a42a6e-ac69-a3f8-6a6b-8b118d540778/full/843,/0/default.jpg"
"safe-chinese-76279","Yang Pu Moving His Family","Artist Unknown
Chinese","Yuan dynasty (1279–1368) 元朝","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","handscroll","https://www.artic.edu/iiif/2/f78addab-4d3a-f87c-4c83-7eae824c7504/full/843,/0/default.jpg"
"safe-chinese-22075","Trouser Band","Han-Chinese
China","Qing dynasty (1644–1911), 1875/1900","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/c41881e9-0cde-be61-ebe4-0204dff1617a/full/843,/0/default.jpg"
"safe-chinese-3582","Tureen with Cover and Stand","Artist unknown (Chinese, made for the American market)
China","c. 1787–90","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","chinese export porcelain","https://www.artic.edu/iiif/2/2c332662-84f0-b522-b92b-760ccc568dbb/full/843,/0/default.jpg"
"safe-chinese-7765","Coffee Pot with Lid","Artist unknown (Chinese, made for the American market)
China","1790–1800","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","coffeepot","https://www.artic.edu/iiif/2/2f8e2784-7d1d-3041-b90a-a81c4f38fcea/full/843,/0/default.jpg"
"safe-chinese-111059","Flowers and Fruit in a Chinese Bowl","Juan de Zurbarán (Spanish, 1620–1649)","c. 1645","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","oil on canvas","https://www.artic.edu/iiif/2/9e4bfbcc-176f-3dac-4529-f67c9a98065c/full/843,/0/default.jpg"
"safe-chinese-117475","Punch Bowl","Artist unknown (Chinese, made for the American market)
China","c. 1789","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","punch bowl","https://www.artic.edu/iiif/2/39f2a271-2bb2-78c8-2f97-565ff8894b49/full/843,/0/default.jpg"
"safe-chinese-7934","Platter","China","c. 1760–c. 1800","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","vessel for serving food","https://www.artic.edu/iiif/2/9794ffdb-e20e-9275-20fc-4204f0e06405/full/843,/0/default.jpg"
"safe-chinese-7909","Cider Jug with Lid","Artist unknown (Chinese, made for the western market)
China","c. 1800","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","porcelain","https://www.artic.edu/iiif/2/e7cafb71-c58b-c620-e16e-c3b0cd4d0237/full/843,/0/default.jpg"
"safe-chinese-7768","Sugar Bowl with Cover","Artist unknown (Chinese, made for the American market)
China","1790–1800","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","sugar bowl","https://www.artic.edu/iiif/2/2c124a0b-86ef-42d8-048c-24d016de4d3f/full/843,/0/default.jpg"
"safe-chinese-7921","Punch Bowl","Artist unknown (Chinese, made for the western market)
China","1790","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","punch bowl","https://www.artic.edu/iiif/2/906d92a4-0c25-7a7c-9a6e-6d00b47339d8/full/843,/0/default.jpg"
"safe-chinese-16012","Teapot","Artist unknown (Chinese, made for the American market)
China","c. 1790","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","ceramics","https://www.artic.edu/iiif/2/72a14148-4781-57ba-fc41-d3d514912925/full/843,/0/default.jpg"
"safe-chinese-135","Jar with Tubular Handles, Peonies, “Endless Knot,” Pendant Balls, and Pendant Lozenges","China","Qing dynasty (1644–1911), Qianlong reign mark and period (1736–1795)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","vase","https://www.artic.edu/iiif/2/abf4b078-b26b-e69c-d689-8aab2d5fa075/full/843,/0/default.jpg"
"safe-chinese-22067","Fragment (Touser Bands)","Han-Chinese
China","Qing dynasty (1644–1911), 1875/1900","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/89a4ed59-213b-d78a-8005-ce41a590f83b/full/843,/0/default.jpg"
"safe-chinese-79505","A Hunt in the Mountains of Heaven","Artist unknown [spurious signature of Zhao Mengfu (1254-1322), dated 1301]
Chinese","Late Ming /early Qing dynasty, 17th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","handscroll","https://www.artic.edu/iiif/2/7cab841a-24d6-4063-33dd-076adb1c82c3/full/843,/0/default.jpg"
"safe-chinese-130334","Protector Deity Begtse Chen","Tibet or Mongolia","19th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","metal","https://www.artic.edu/iiif/2/8ca227f2-6d7a-8c2b-1d62-2dbe611566a3/full/843,/0/default.jpg"
"safe-chinese-117554","Bodhisattva","China, probably from the Cisheng Si (Cisheng temple), Henan province","Song dynasty (960-1278)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","painting","https://www.artic.edu/iiif/2/6597bb58-d113-7369-7089-672f2d556dc3/full/843,/0/default.jpg"
"safe-chinese-75361","The Peach Blossom Spring 桃花源圖","Artist unknown (17th century), spurious signature of Qiu Ying 仇英 (c. 1500-1552)
Chinese","Late Ming (1368–1644) or early Qing (1644–1912) dynasty 明朝","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","handscroll","https://www.artic.edu/iiif/2/7d5dcd32-b556-6d64-c90e-d195717f633f/full/843,/0/default.jpg"
"safe-chinese-2583","Plate","China","c. 1750","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","plate (general, dish)","https://www.artic.edu/iiif/2/5fb62b48-8ea9-cc59-0b57-5c9779784b31/full/843,/0/default.jpg"
"safe-chinese-8983","Painting with Troika","Vasily Kandinsky
Born Moscow (formerly Russian Empire, now Russia), 1866; died Neuilly-sur-Seine, France, 1944","January 18, 1911","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","oil on cardboard","https://www.artic.edu/iiif/2/08da4ff3-3bf6-9bbd-230c-492382034f3d/full/843,/0/default.jpg"
"safe-chinese-68041","Bamboo-Covered Stream in Spring Rain","Xia Chang (Chinese, 1388-1470)","Ming dynasty (1368–1644), dated 1441","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","handscroll","https://www.artic.edu/iiif/2/0bdf821c-9259-c0a0-268c-9ba8e42a2a2b/full/843,/0/default.jpg"
"safe-chinese-134","Lacquer Tea Bowl 乾隆禦制雕漆盞","China","Qing dynasty (1644–1911), Qianlong reign mark and period (1736–1795)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","drinking vessel","https://www.artic.edu/iiif/2/a6b21bf6-aa51-1b2f-6e2e-be09e3e126ba/full/843,/0/default.jpg"
"safe-chinese-185963","Cauldron","China","Western Zhou dynasty (1046–771 BC ), early 9th century BC","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","vessel","https://www.artic.edu/iiif/2/69f25cba-e78d-061b-4cc1-b8fe66b02f28/full/843,/0/default.jpg"
"safe-chinese-140598","Memorial Stele for the Buddhist Master Daoyin (Ink Rubbings)","Calligraphy attributed to Qiu Ying
Chinese","Qing dynasty (1644–1911); Jiaqing–Daoguang reigns, c. 1796–1850","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","calligraphy","https://www.artic.edu/iiif/2/a3a0071a-536c-48f4-1335-8c1c4844eaf8/full/843,/0/default.jpg"
"safe-chinese-14849","Battle of the Forces of Krishna and Bana, from a copy of the Dispersed Bhagavat Purana","India
Delhi-Agra region, possibly Mathura","c. 1520–1530","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","calligraphy","https://www.artic.edu/iiif/2/831534f4-dd88-4100-41b3-0016f19e4d7a/full/843,/0/default.jpg"
"safe-chinese-108845","Page from a Copy of the Qur'an","Spain","13th/14th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","calligraphy","https://www.artic.edu/iiif/2/2dbb733a-3563-e73c-c608-3a09bd2f5628/full/843,/0/default.jpg"
"safe-chinese-108749","Double Page from the Qur'an","Iran","Safavid dynasty (1501–1722), 16th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","calligraphy","https://www.artic.edu/iiif/2/3e782ce2-72ab-1dd2-fb2b-02ace263050d/full/843,/0/default.jpg"
"safe-chinese-108747","Page from a Copy of The Qur'an","Iraq or Syria","9th/10th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","calligraphy","https://www.artic.edu/iiif/2/fb2315a8-9c8d-e553-773b-434d01f5a767/full/843,/0/default.jpg"
"safe-chinese-4002","Page from a Copy of the Qur'an","Iraq","Abbasid Caliphate (750–1258), 9th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","calligraphy","https://www.artic.edu/iiif/2/50e17d48-00fa-0dee-4429-f749a8ae1c31/full/843,/0/default.jpg"
"safe-chinese-108850","Page from a Copy of The Qur'an","Iran","16th/17th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","calligraphy","https://www.artic.edu/iiif/2/704ab5af-778a-6bd6-22c1-96fb5ae03886/full/843,/0/default.jpg"
"safe-chinese-28410","Page from a Qur'an Manuscript","Probably Tunisia, Qayrawan","10th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","calligraphy","https://www.artic.edu/iiif/2/db57b11c-026e-62a7-4862-9c9b49a67e93/full/843,/0/default.jpg"
"safe-chinese-16144","Qur'an Manuscript","Iran","11th/12th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","calligraphy","https://www.artic.edu/iiif/2/6af913ce-cd6d-6fae-01bb-1627f5cfe565/full/843,/0/default.jpg"
"safe-chinese-131893","Right-Hand Page from the Qur'an","Iran","Safavid dynasty (1501–1722)، 16th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","calligraphy","https://www.artic.edu/iiif/2/d694d3c7-2239-3469-3a96-4f2ed335b45d/full/843,/0/default.jpg"
"safe-chinese-47257","Woman's Ao (Short Robe)","Han-Chinese
China","Qing dynasty (1644–1911), 1870/90","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/401804d7-e1b5-bc17-ba64-8eda258e0219/full/843,/0/default.jpg"
"safe-chinese-7824","Tea Bowl and Saucer","Artist unknown (Chinese, made for the American market)
China","1790–1800","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","drinking vessel","https://www.artic.edu/iiif/2/392e11ed-2602-cdcf-57ea-a3c717ab81f4/full/843,/0/default.jpg"
"safe-chinese-147005","Painted Banner (Thangka) of Vajriputra, One of the Sixteen Great Arhats","Chinese or Tibetan","late 17th/early 18th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","tankas (scrolls or banners)","https://www.artic.edu/iiif/2/01e93a51-4f67-6493-ed11-966d39820973/full/843,/0/default.jpg"
"safe-chinese-2728","Soup Bowl","China","c. 1750","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","bowl","https://www.artic.edu/iiif/2/a400d311-80ea-1ac6-da15-1d29cfab43a9/full/843,/0/default.jpg"
"safe-chinese-36599","Woman's Waitao (Semiformal Domestic Surcoat)","Han-Chinese
China","Qing dynasty (1644–1911), 1875/1900","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/4a47cb31-d2e9-867e-7364-3ef259205ea5/full/843,/0/default.jpg"
"safe-chinese-101076","Sugar Bowl with Cover","Artist unknown (Chinese for the European market)
China","c. 1800; gilding possibly added in Europe, c. 1820","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","sugar bowl","https://www.artic.edu/iiif/2/1ed4a075-023d-2d40-7bc6-9ae661168962/full/843,/0/default.jpg"
"safe-chinese-160216","Two Sauceboats and Two Covered Tureens from the ""Washington Memorial Service""","Artist unknown (Chinese, made for the American market)
China","c. 1800","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","vessel for serving food","https://www.artic.edu/iiif/2/b3ab71ad-a9fd-e8a2-449b-8dac8e8f3742/full/843,/0/default.jpg"
"safe-chinese-90592","Covered Tureen and Platter","Artist unknown (Chinese, made for the American market)
China","1800–15","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","tableware","https://www.artic.edu/iiif/2/d55edc3a-5ba9-c32f-e37a-c8b93e658f09/full/843,/0/default.jpg"
"safe-chinese-7855","Tea Caddy with Cover","Artist unknown (Chinese, made for the western market)
China","c. 1750","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","tea service","https://www.artic.edu/iiif/2/7a9a2c5d-599f-0ecb-3002-85b60fb95308/full/843,/0/default.jpg"
"safe-chinese-2344","Tea Bowl","China","c. 1750","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","drinking vessel","https://www.artic.edu/iiif/2/bb506af3-7677-b443-c8b0-431ddcc077c4/full/843,/0/default.jpg"
"safe-chinese-7889","Tea Bowl and Saucer","China","c. 1780","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","drinking vessel","https://www.artic.edu/iiif/2/3160709d-1b71-b3f3-a4fd-3d65286daae8/full/843,/0/default.jpg"
"safe-chinese-7794","Breakfast Cup","Artist unknown (Chinese, made for the American market)
China","c. 1785","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","drinking vessel","https://www.artic.edu/iiif/2/af831c9a-efbd-8257-3416-3057f67c366f/full/843,/0/default.jpg"
"safe-chinese-7820","Tea caddy with cover","Artist unknown (Chinese, made for the American market)
China","1790–1800","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","teaware","https://www.artic.edu/iiif/2/d3a99d3d-5bce-0f89-3aee-08a153cd1d09/full/843,/0/default.jpg"
"safe-chinese-7925","Oval Dish","China","c. 1770","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","dish (vessel)","https://www.artic.edu/iiif/2/8cb06c9c-4311-0812-4ef0-29243b267cb7/full/843,/0/default.jpg"
"safe-chinese-2528","Dish","China","c. 1765","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","dish (vessel)","https://www.artic.edu/iiif/2/54963194-7397-e04c-b3d7-29361686ee34/full/843,/0/default.jpg"
"safe-chinese-61636","Coffee Pot with Cover","Artist unknown (Chinese, made for the American market)
China","c. 1795","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","coffeepot","https://www.artic.edu/iiif/2/7c8cafb8-6933-b502-cf23-95355d69e27f/full/843,/0/default.jpg"
"safe-chinese-106182","Memorial Plate","Artist unknown (Chinese, made for the western market)
China","1793–1800","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","chinese export porcelain","https://www.artic.edu/iiif/2/6df77c0b-e16a-32dd-c2be-f201b6366105/full/843,/0/default.jpg"
"safe-chinese-27659","Spaniel","China","c. 1760","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","chinese export porcelain","https://www.artic.edu/iiif/2/b10f1786-ca60-d675-dc1d-c99cb0abdb18/full/843,/0/default.jpg"
"safe-chinese-16031","Teacup","Artist unknown (Chinese, made for the American market)
China","c. 1795","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","ceramics","https://www.artic.edu/iiif/2/4717e81f-f7d4-a309-a3d6-82d5c7ecaf45/full/843,/0/default.jpg"
"safe-chinese-2481","Soup Plate","China","c. 1780","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","plate (general, dish)","https://www.artic.edu/iiif/2/a2cddf85-2753-562a-9122-0e560a0cc35f/full/843,/0/default.jpg"
"safe-chinese-7791","Candlestick","China","1775/1800","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","candleholder - candlestick","https://www.artic.edu/iiif/2/c3bb8fcf-3520-c218-90b6-d947f1478a36/full/843,/0/default.jpg"
"safe-chinese-7843","Tankard","China","1750/75","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","drinking vessel","https://www.artic.edu/iiif/2/c6076d20-dfd7-50e2-3f79-04e9c3cd00dd/full/843,/0/default.jpg"
"safe-chinese-7784","Jug with Lid","Artist unknown (Chinese, made for the American market)
China","c. 1785","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","tableware","https://www.artic.edu/iiif/2/e9109d45-4a28-0a65-b346-3e08f5ce3116/full/843,/0/default.jpg"
"safe-chinese-7811","Punch Bowl","China","c. 1780/90","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","punch bowl","https://www.artic.edu/iiif/2/b8fe3664-45bf-ab78-86e8-9dee52f46ac2/full/843,/0/default.jpg"
"safe-chinese-157338","Sutra Cover","China, Ming dynasty (1368-1644)","Ming dynasty (1368–1644), c. 1590's","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/d33ebf8e-ab7d-99ba-741e-5b96ac8c1ca8/full/843,/0/default.jpg"
"safe-chinese-12198","Attendant Holding a Teapot","China","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","statuette","https://www.artic.edu/iiif/2/844717c7-d7b4-2a75-8d0b-8d82b358ebdb/full/843,/0/default.jpg"
"safe-chinese-21408","Vase with Stylized Flowers and Vines","China or Southeast Asia","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","vase","https://www.artic.edu/iiif/2/832cbbb9-2bda-da17-36d0-16d0b7a583c4/full/843,/0/default.jpg"
"safe-chinese-12221","Miniature Chest with Drawers (Mingqi)","China","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","ceramics","https://www.artic.edu/iiif/2/683ffbb3-bbc3-b89b-e489-453438869558/full/843,/0/default.jpg"
"safe-chinese-12247","Miniature Chest (Mingqi)","China","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","ceramics","https://www.artic.edu/iiif/2/96892dcb-bce6-69cf-9910-09fb036d4ea5/full/843,/0/default.jpg"
"safe-chinese-79507","Pillars of the Country","Yao Shou
Chinese, 1423-1495","Ming dynasty (1368–1644), 1494","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","hanging scroll","https://www.artic.edu/iiif/2/48450f9e-295e-604b-851e-ad66a30712a5/full/843,/0/default.jpg"
"safe-chinese-28158","Guanyin (Avalokiteshvara)","China","Yuan/early Ming dynasty","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","bronze","https://www.artic.edu/iiif/2/0a0a3531-5054-6e98-edab-c1517f75fbab/full/843,/0/default.jpg"
"safe-chinese-12214","Miniature Table with Scholarly Implements (Mingqi)","China","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","ceramics","https://www.artic.edu/iiif/2/496dcf8f-e5e6-0fd4-49d3-e5aa66ce319b/full/843,/0/default.jpg"
"safe-chinese-40558","Tea Drinking Under the Wutong Tree","Tang Yin 唐寅 (Chinese, 1470-1523)","Ming dynasty (1369–1644), 1509","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","painting","https://www.artic.edu/iiif/2/b537efd5-9719-2f33-ff5d-89578177002b/full/843,/0/default.jpg"
"safe-chinese-71771","Winter Landscape","Xie Shichen
Chinese, 1487-after 1567","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","handscroll","https://www.artic.edu/iiif/2/4f27590e-6751-cb2d-5651-542ef9908150/full/843,/0/default.jpg"
"safe-chinese-21423","Cup in the Shape of a Plum Flower with Branch-Shaped Handle","China","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","drinking vessel","https://www.artic.edu/iiif/2/968e6b0f-236f-53e1-a95d-acc8b6ee1faf/full/843,/0/default.jpg"
"safe-chinese-8209","Landscape in the Style of Ancient Masters: after Gao Kegong (1248-1310)","Lan Ying (Chinese, 1585-c. 1664)","Ming dynasty (1368–1644), dated 1642","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","album leaf","https://www.artic.edu/iiif/2/2b5927a7-6a01-62bc-081a-6d0d1f9e3b7d/full/843,/0/default.jpg"
"safe-chinese-84100","Flowering Lotus","Attributed to Chen Chun
Chinese, 1483-1544","Ming dynasty (1368–1644), 1543","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","handscroll","https://www.artic.edu/iiif/2/ca6d2ad1-d0da-68f3-b37a-a31b389102ea/full/843,/0/default.jpg"
"safe-chinese-75574","Song of a Fisherman","Wang Wen (1497-1576)
Chinese","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","handscroll","https://www.artic.edu/iiif/2/843da8dd-8b6e-38d6-66e8-b0a2045315b0/full/843,/0/default.jpg"
"safe-chinese-21310","Dish with Two Women in a Garden","China","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","dish (vessel)","https://www.artic.edu/iiif/2/c9569f06-508d-85a6-12dd-7ef8dbf24fec/full/843,/0/default.jpg"
"safe-chinese-12529","Bowl","China","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","bowl","https://www.artic.edu/iiif/2/46647e8e-9c6d-7a38-4b17-dffc06c7c725/full/843,/0/default.jpg"
"safe-chinese-76267","River and Mountain Landscape","Xiang Shengmo (Chinese, 1597-1658)","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","hanging scroll","https://www.artic.edu/iiif/2/985a026a-c842-9310-8dee-d98cf2eb7624/full/843,/0/default.jpg"
"safe-chinese-13455","Clouds over the River before Rain 溪雲欲雨圖","Shen Zhou 沈周 (Chinese, 1427-1509)","Ming dynasty (1368–1644), dated 1504","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","handscroll","https://www.artic.edu/iiif/2/591b86ab-c0a9-77f7-c4bf-a330498b9c02/full/843,/0/default.jpg"
"safe-chinese-75317","Flowers of the Four Seasons 四季花卉圖","Chen Jiayan 陳嘉言 (Chinese, 1539-after 1625)","Ming dynasty (1368–1644), dated 1599","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","handscroll","https://www.artic.edu/iiif/2/ec57d7e6-1205-ce06-f21c-76d77b457aba/full/843,/0/default.jpg"
"safe-chinese-12470","Tripod Incense Holder with Floral Design","China","Ming dynasty (1368–1644)","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","ceramics","https://www.artic.edu/iiif/2/3b8072d2-fcd1-ba58-493d-37b6fe73b468/full/843,/0/default.jpg"
